f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,target
-14241,A,546,3067,1838,-17242,-41,E,-3493,A,422,K,-4491,15216,-552,-2944,-2251,-346,-4546,B,I,E,4271,A,,J,B,-12634,,25842,-147,5702,-3863,H,11918,A,8010,-41306,-983,624,D,E,A,7447,-479,C,,472,-2859,-2924,,-222,1178,,9131,10249,-578,5885,-313,31628,20176,9782,,A,-2280,-369,8555,-105,I,B,17
-21351,A,858,4797,2518,,-40,E,-5450,B,552,M,-6861,23468,-1062,-4309,-3346,40,-7217,D,E,,6264,,-17381,J,B,-19808,9116,39483,621,8279,-5481,A,18300,A,11958,-63973,-1258,541,D,D,A,11428,-839,C,B,367,-4845,-4480,25290,-636,2013,67953,12716,16752,-1235,9380,-1037,48774,30441,15017,5959,A,,-667,13060,86,C,B,17
19991,B,-810,-4497,-2464,24106,-120,C,4901,A,-468,L,6383,-21408,1191,4834,3027,527,6149,B,E,A,,A,15430,G,A,17946,-7835,-35604,-51,-7938,4591,,-16579,A,-11344,58379,1116,-869,F,J,E,-10228,584,G,,-610,4177,3461,-22810,,-1546,-61616,-12513,-14328,,-8371,569,-44384,-27283,-13214,-5184,B,3147,,-12295,408,D,D,17
-11520,I,463,2329,1390,-13909,-141,A,-2798,A,273,K,-3752,12353,-565,-2398,-1757,-110,-3872,B,G,E,,,-9083,N,E,-10576,4725,21015,235,,-2900,H,9662,A,6323,-33914,-781,283,B,E,A,6097,-514,C,B,161,-2324,,13469,-207,951,36028,7023,8590,-396,4891,-439,26075,16333,7922,3094,A,-1989,-500,6961,59,I,P,17
7014,B,-167,-1160,-904,8098,-76,C,1752,A,-285,H,2127,-6849,664,2574,1082,133,1889,B,D,A,-1859,A,4858,A,A,5679,-1908,,25,-2600,1340,I,-5475,A,-3752,19224,148,-474,,L,G,-3054,127,E,,-338,1562,713,,-564,-342,-19096,-4246,-4321,,-2757,-54,,-7862,-4080,-1099,B,927,48,-3771,,D,M,17
-3276,I,129,977,414,-4013,-353,A,-803,A,66,H,-1009,3698,-65,-267,-603,74,-1209,B,D,E,1210,A,-3145,A,A,-3244,1811,6800,186,1454,-1089,H,2989,,1799,-10182,-122,64,B,E,G,2096,-302,L,B,163,-616,-1094,4158,-599,290,11405,1850,2970,,1622,-286,8302,5289,2799,1197,A,-494,-61,2241,-155,J,P,17
-21016,A,798,4468,2782,-25488,-147,E,-5371,B,475,M,-6795,22383,-1128,-4480,-3247,106,-7075,D,F,E,6133,A,-17179,J,B,-19215,8720,38174,708,8312,-5138,A,17850,A,11603,-62516,-1177,534,D,D,A,11072,-760,C,B,254,-4327,-4254,24399,-475,1758,66334,12303,16061,-1166,9253,-943,47411,29511,14554,5760,A,-3637,-440,12887,94,I,B,17
2188,I,-142,-587,-304,2336,-173,A,652,A,-45,H,525,-1952,567,1016,252,-48,500,B,E,E,-761,A,1884,A,B,1672,-954,-3187,-314,-914,306,H,-1795,D,-909,6378,141,-38,B,L,G,-1053,112,E,A,124,574,93,,-298,42,-5894,-653,-1642,64,-990,-208,-4244,-2148,-1151,-366,A,381,183,-1275,35,J,M,17
-29204,K,1111,6530,3760,-35311,256,E,-7182,B,880,M,-9339,31230,,-6854,-4403,-115,-9437,D,D,E,8562,A,-23223,P,A,,11950,52157,1063,11385,-6772,A,24393,C,,-86095,-1464,878,D,D,A,14817,-984,B,B,854,-6195,-5547,33442,,2348,90643,16928,22003,-1370,,-1044,65094,39787,,7588,A,-4785,-756,17606,180,C,E,18
-24899,A,942,5518,3040,-30612,-308,E,-6088,B,605,M,-8112,26844,-1372,-5157,-3837,-179,-8493,D,E,E,7411,A,-20169,J,B,-23162,10699,45787,831,10075,-6307,A,20920,C,14085,,-1427,622,,D,A,13123,-1008,B,B,603,-5095,-5050,29090,-715,1972,78884,14739,,-1219,11160,-803,56449,35375,17458,6926,A,-4287,-572,15376,-31,C,E,18
10930,B,-441,,-1325,13136,92,A,2561,A,-84,L,3417,-11628,966,2909,,33,3522,B,M,A,-3610,A,8805,B,A,10071,-4647,-19396,-324,-4637,2471,I,-9156,D,-5789,32513,493,-343,J,J,G,-5468,371,G,A,-265,2337,1794,-12497,-80,-703,-33627,-6308,-8243,395,-4855,372,-24278,-14527,-7520,-2875,B,1721,412,-6627,66,D,D,18
345,I,-124,,-181,565,,A,78,,91,H,71,-168,60,230,-171,412,46,B,E,E,-88,A,-189,A,,135,106,-336,322,-153,-13,H,-238,A,-334,500,118,-196,B,L,G,-54,-125,E,B,69,211,-149,-297,-150,-75,-289,-726,205,-240,54,,-444,-305,113,317,A,-69,34,-426,,J,M,18
16899,B,-458,-3700,-1907,20299,-185,C,4143,A,-574,L,5234,-17542,1309,4604,2618,,5256,B,E,A,-5131,A,12992,B,A,14801,-6378,-29310,-102,-6585,3684,I,-13980,A,-9297,48851,828,-909,J,J,E,-8370,671,G,A,,3580,,-18893,-283,-1181,-50571,-10250,-11939,612,-7112,605,,-21981,-10880,-3830,B,2559,316,,100,D,D,18
-9340,I,371,2000,1248,-11486,89,A,-2491,A,244,H,-3049,10060,-429,-2109,-1558,-46,-3198,B,,E,2650,A,-7461,N,A,-8509,3890,17001,184,3674,-2274,H,7972,A,,-27823,-428,278,B,E,A,4798,-44,L,B,68,,-1687,10864,-146,832,29467,5598,7304,-515,3856,-372,21156,13200,6342,2464,A,-1520,-174,5926,36,I,P,18
6458,B,-357,-1355,-626,7620,-113,A,1770,A,-98,L,,-6704,758,1792,948,-1,2206,B,E,A,-1980,A,5081,A,A,5864,-2713,-11277,-569,-2285,1303,I,-5253,D,-3461,19156,-96,-222,J,J,G,-3276,107,E,A,-287,1465,1176,-7326,-252,-576,-19599,,-5041,341,-2909,182,-14415,-8366,-4279,-1514,B,1107,-120,-3634,,D,M,18
15647,B,-657,-3435,,18930,11,,4009,A,-450,A,4864,-16310,1122,3449,2437,-26,4849,B,I,A,-4512,A,12382,B,A,13987,-6306,-27638,-429,-6160,3766,I,-13046,A,-8816,,800,-482,J,J,E,-8005,646,G,A,-459,3360,2802,-17916,-65,-1427,-48132,-9342,-11481,411,-6852,531,-34703,-21303,-10579,-3995,B,2365,272,-9504,170,D,D,18
-23873,A,874,5310,3094,-28999,68,E,-6016,B,603,M,-7804,25251,-1551,-5546,-3634,,-7612,D,I,,6927,A,-18815,J,B,-21369,9467,42359,711,9264,-5591,A,20013,A,13111,-70096,-1253,894,D,E,A,12191,,B,B,720,-5140,-4589,27131,-174,2135,73636,13965,17719,-1050,9916,-1007,52759,32556,15785,6283,A,-3846,-469,14372,51,C,B,18
6821,B,-574,-1720,-843,8094,-233,,1892,,-165,L,2297,-7072,531,1639,975,-69,1967,B,E,A,-1804,A,5689,A,B,6018,-2860,-11790,-224,-2668,1300,I,-5605,A,-3597,19853,335,-261,J,J,G,-3361,262,E,A,-374,1395,1294,-7717,34,-608,-20507,-3783,-5201,341,-2955,356,-14938,-8981,-4714,-1667,B,1170,255,-4044,-33,D,M,18
13495,B,-629,-2923,-1587,16258,-246,C,3594,A,-462,L,4526,-14148,1121,3359,2056,159,4472,B,I,A,-3676,A,10669,B,B,12147,-5371,-23860,-357,-5218,3051,I,,A,-7330,39843,538,-501,J,J,G,-6772,444,G,,-572,3057,2422,-15347,-331,-1188,-41469,-7671,-10039,530,-5706,441,-29807,-18022,-9159,-3384,B,2118,392,-8139,,D,D,18
24907,H,-1034,-5469,-3010,29950,-299,C,6413,A,-618,A,8022,-26233,1928,6505,3660,153,8146,B,E,A,-7203,A,19686,G,G,22348,-9682,-43643,-684,-9739,5528,I,,,-13869,73021,1077,-821,F,A,E,-12460,936,,A,-920,5477,4324,-28267,-571,-2011,-76277,-14589,-18447,820,-10617,786,-54753,,-16431,-6254,B,3782,542,-15118,40,A,I,18
41475,E,-1638,-8854,-5089,50284,-79,,10276,C,-1281,D,13378,-44053,2940,10367,6224,449,13448,A,G,D,-12085,A,32442,K,G,37094,-16249,-73616,-775,-16191,9728,E,-34439,D,-23053,121591,2313,-1467,E,K,F,,1270,D,A,-1232,8667,7552,-46971,-180,-3474,-127384,-24699,-30483,1492,-17654,1400,-91684,-55856,,-10544,E,,966,-25063,115,K,O,18
-1833,I,-62,338,370,-2025,108,A,-398,A,-16,,-619,1854,,-516,-298,-263,-311,B,I,E,473,A,-1148,A,B,-1261,,,-540,500,-363,H,1643,A,1052,-4198,-380,366,B,L,,914,-98,L,B,61,-393,-269,1628,-29,-58,4862,1545,690,104,418,35,3523,2486,,318,A,-208,-31,863,-33,J,M,18
10035,B,-284,-2098,-1412,11718,165,C,2520,A,-215,L,3349,-10439,1017,2781,1465,-135,3199,B,I,A,-2858,A,7915,B,A,8892,-4097,-17337,-671,-4007,2202,I,-8272,A,-5192,29646,411,-184,J,J,G,-4872,422,G,A,-424,2069,1657,-11295,-270,-976,-30522,-5455,-7504,574,-4422,316,-22010,-12944,-6664,-2423,B,1577,240,-6124,-207,D,D,18
10845,B,-379,-2400,-1426,13190,-123,C,2722,A,-233,L,3630,-11621,971,2563,1796,209,3543,B,E,A,-3190,A,8826,B,A,10117,-4377,-19569,-182,-4426,2698,I,-9241,D,-6068,32383,648,-401,J,J,G,-5665,449,,A,-435,2421,2110,-12575,61,-1004,-33784,-6379,-8263,523,-4748,405,-24493,-14600,-7527,-2816,B,1955,316,-6536,42,D,D,18
8954,B,-409,-1993,-1059,10810,25,,2149,A,-451,L,2904,-9427,460,2054,1414,293,2765,B,I,A,-2690,A,6714,A,B,7886,-3099,,119,-3513,2083,I,-7514,,-5142,26064,703,-240,J,L,G,-4611,301,E,A,-275,1745,1843,-10135,-110,-918,-27339,-5831,-6347,539,-3795,351,-19846,-12355,-5925,-2194,B,1459,347,,-10,D,M,18
-35839,K,1449,7744,,-43837,-315,D,-9117,B,886,F,-11569,38733,-1842,-7583,-5607,152,-11944,D,G,C,10288,A,-28923,H,E,-32823,14977,65472,1007,14292,-9047,G,30389,A,20064,-106633,-1930,876,G,D,C,18818,-1384,J,B,834,-7677,-7059,41770,-626,3191,112988,21196,27752,-1891,15528,-1523,81130,50404,24809,9833,D,-6192,-1022,22033,312,B,N,18
-12121,I,662,2667,1387,-15001,-146,A,,,,K,-3883,13295,-741,-2139,-1769,22,-4139,B,A,E,3626,A,-10055,N,B,-11590,5357,22656,693,5079,-3107,,10310,A,6794,-36540,-798,-7,B,,A,6481,-387,C,B,254,-2494,-2619,,-451,947,39089,7072,9694,-743,5433,-564,27954,17640,8642,3717,A,-2283,-354,7645,50,I,B,18
16729,B,-627,-3635,-2055,20087,-219,C,4340,A,-186,A,5372,-17824,1144,3979,2590,94,5495,B,E,A,-4934,A,13241,G,B,15192,-7006,-30004,-753,-6431,3827,I,-13847,A,-9049,49495,754,-562,J,J,E,-8601,789,G,A,-515,3651,2872,-19247,28,-1231,-51849,,-12483,741,-7414,859,-37367,-22811,-11340,-4223,B,2696,386,-10167,-11,D,D,18
8287,B,-283,-1744,-1070,9949,-28,A,1984,A,-244,L,2692,-8640,585,2101,1224,138,2923,B,F,A,-2531,A,6500,A,,7552,-3346,-14512,-326,-3276,1649,I,-6809,A,-4582,24178,323,-437,J,J,G,-4195,281,E,A,-111,1822,1305,-9454,-10,-253,-25352,-4918,-6190,295,-3617,135,-18370,-11286,-5520,-1977,B,1390,,-5146,154,D,M,18
38546,E,-1575,-8338,-4928,46669,-223,F,9689,C,-1175,D,12458,-40618,2571,9528,5844,184,12495,A,F,A,-11125,A,29961,K,G,34453,,-67952,-528,-14944,9050,E,-32091,D,-21276,112640,2076,-1643,E,A,F,-19456,,D,A,-1269,8066,6864,-43755,-368,-3225,-117944,-23072,-28125,1539,,1190,-85029,-51801,-25865,-9791,B,6316,988,-23337,130,K,O,18
2307,I,-148,-398,-383,2493,-75,A,730,A,-38,L,909,-2040,683,969,358,-238,393,B,I,E,,A,1719,A,A,1895,-738,-3197,-337,-936,329,H,-1694,D,-1291,6224,-153,33,B,L,G,-698,139,,B,,369,146,-2203,-293,-260,-6102,-832,-1399,151,-960,165,-4454,-2204,-976,-373,,357,160,-1403,-41,D,M,18
-6301,,27,1346,898,-7974,,A,-1550,A,275,H,-1870,7088,-207,-884,-962,6,-2079,B,E,E,1758,A,-5100,,B,-6060,2623,12081,-92,2669,-1913,H,5423,A,3752,-19052,-453,251,B,,G,3662,-362,L,B,127,-1188,-1654,7725,-607,585,20716,4289,4820,-417,2845,-279,14917,9789,4553,1942,A,-1231,-223,4060,4,I,P,18
-21327,A,664,4589,2620,-26204,-191,E,-5325,B,547,M,-6988,22953,-911,-4435,-3233,-253,-7115,D,F,E,6148,A,-16972,J,B,-19367,8381,38967,144,8217,-5426,A,18158,A,12302,-63108,-1359,692,D,E,A,11230,-667,B,B,435,-4517,,24795,-285,1907,67046,13259,16036,-904,9045,-783,48136,30136,14663,5699,,-3578,-566,12962,135,C,B,18
402,I,-122,89,,231,-233,A,294,A,-150,H,216,24,447,1012,136,161,-243,B,G,E,-139,,,N,A,-173,491,863,,183,-382,H,149,A,-71,76,-103,-192,B,L,G,254,-63,L,,-240,240,-414,361,-638,189,839,-252,382,-142,145,87,531,756,409,476,A,-229,-112,5,137,J,M,18
-33787,K,1482,7344,4397,-41149,-3,D,-8449,B,814,F,-10870,35902,-1964,,-5191,-357,-11057,D,F,C,9746,A,-26454,P,F,-30225,13194,60540,401,13185,-8321,A,28457,A,18932,-99306,-1941,1388,G,H,C,17239,-1123,B,B,895,-6985,-6328,38685,-56,2976,104593,20597,24745,-1554,14057,-1231,75249,46666,22829,8753,D,-5426,-933,,155,B,,18
-25515,A,956,,3386,-31106,61,E,-6295,B,662,M,-8441,27042,-1538,-6090,-4067,-372,,D,I,E,7380,A,-20039,P,E,-22876,9882,45426,227,9880,-5997,A,21581,A,14325,-75082,-1435,1062,D,D,A,13127,-780,B,B,776,-5372,-4688,29241,170,2268,78877,15613,18769,-1205,10784,-1078,56716,35090,17084,6589,A,-4048,-698,15664,54,C,E,18
-52354,C,2205,11650,6604,-63911,-27,G,-13103,B,1215,N,-16928,56131,-3347,-11844,-8250,-202,-17163,D,I,C,15373,B,-41884,E,F,-47672,21346,94639,1331,20585,-12945,G,43977,C,29236,-155289,-2935,1710,K,I,D,26960,-1929,A,B,1390,-11269,-10113,60548,-360,4427,163621,31135,39854,-2506,22473,-2017,117708,72474,35718,13916,D,,-1349,32111,224,M,F,18
,,1087,,2822,-27677,-190,E,-5754,B,,M,-7163,24166,-1270,-4683,-3568,133,-7638,D,D,E,6414,A,-18168,J,B,-20793,9700,41190,853,8855,-5655,A,19045,A,12662,-67189,-1200,567,D,D,A,11932,-780,B,B,493,-4831,-4763,26511,-397,2040,71314,13044,17557,-1355,9860,-891,51205,31832,15494,6159,A,-4058,-674,13836,486,C,B,18
16759,,-650,-3688,,20324,-71,C,4041,A,-503,A,5507,-17900,1053,4131,2615,29,5399,B,E,A,-4719,A,13040,B,A,15044,-6461,-29791,-7,-6491,4023,I,-13994,A,-9358,49314,1125,-511,J,J,E,-8616,484,G,A,-515,3545,3002,-19074,-147,-1214,,-10278,-12434,685,-7379,753,-37246,-22706,,-4032,,2570,430,-10129,-5,A,D,18
1106,I,-149,,86,1304,216,A,,A,97,H,358,-1291,,84,348,-36,448,B,E,E,-567,A,1399,A,A,1252,-750,,-582,-643,217,H,-890,A,-619,3966,30,94,B,L,G,,193,E,A,-62,274,305,-1340,-107,146,-4070,-201,-1285,91,-768,195,-2959,-1486,-749,-405,A,389,46,-633,60,J,M,18
20966,H,-827,-4551,-2696,25295,-14,C,5161,A,-528,A,6816,-22119,1536,5623,3197,272,6670,B,D,A,-6222,A,16390,,A,18388,-8090,-36690,,-8329,,I,-17589,A,-11756,61226,,-821,F,J,E,-10543,565,P,A,-658,4352,3764,-23643,-275,,-63907,-12677,-14960,892,-8901,790,-46137,-28154,-13818,-5157,B,3249,728,-12616,94,A,D,18
32269,H,-1187,-7105,-4213,39246,-195,F,8048,C,-905,D,10312,-34096,2131,8077,4991,226,10313,A,F,A,-9277,A,25284,K,G,,-12381,-57258,-451,-12740,7673,E,-27119,D,-18001,94661,1835,-1288,F,A,E,-16372,946,P,A,-919,6851,5832,-36724,-299,-2680,-99143,-19658,-23563,1328,-13734,1212,-71638,-43755,,-7983,B,,,-19872,223,H,I,18
412,I,29,-125,-95,316,-112,A,-113,A,,H,104,-204,-122,177,,78,-7,B,I,E,-25,A,-134,A,A,,226,-433,,44,157,H,-304,A,-339,505,144,-240,B,L,G,-183,71,E,B,17,70,-51,-41,-87,,-729,-635,94,-28,24,,-531,-385,-68,225,A,-70,6,-274,-19,J,M,18
11518,B,-404,-2539,-1533,13793,-6,C,2755,A,-112,L,3838,-12052,481,2446,1908,228,3637,B,I,A,-3308,A,8704,B,A,10204,-4349,-20408,141,-4295,2785,I,-9486,A,-6454,33285,778,-690,J,J,,-5788,216,G,A,-442,2157,2181,-13025,130,-924,-35181,-7412,-8239,560,-4655,442,-25030,-15712,-7689,-2684,B,1711,224,-6907,86,D,D,18
28937,H,-938,-6248,-3440,34869,-173,C,7118,C,-720,D,9270,-30607,2142,6907,4308,315,9549,A,G,A,-8369,A,22906,G,A,,-11780,-51257,-919,-11593,6722,E,-24051,D,-15864,85081,1263,,F,A,E,-14644,1188,P,A,-901,6123,5367,-33006,,-2035,-89195,-16907,-21606,1189,-12581,1020,-64207,-38961,-19542,-7405,B,4703,,-17567,7,A,I,18
-3924,I,81,977,557,-5149,117,A,-1115,A,,H,-1071,4357,,-994,-520,71,-1398,B,F,E,988,A,-2842,N,B,,1457,7285,-345,,-1223,H,3413,A,2435,-11458,-323,84,B,L,G,2087,,L,B,247,-744,-900,4564,-131,252,12502,2707,2645,-270,1627,-91,8821,5817,2841,1223,,-424,-129,2427,-133,,P,18
12410,B,-382,-2740,-1560,14940,-26,C,2959,A,-424,L,3975,-12988,876,3684,1912,258,3811,B,F,A,-3739,A,9419,B,G,11233,-4461,-21681,-140,-4821,2747,I,-10275,A,-6915,36184,645,-613,J,J,G,-6025,596,G,A,-474,2612,1935,-14026,-418,-853,-37635,-7579,-8875,267,-5281,471,-27123,-16604,-8256,-3010,B,1937,417,-7610,206,D,D,18
9634,B,-383,-2314,-1099,11774,133,A,2337,A,-290,L,3186,-10312,501,2397,1470,251,3246,B,,A,-2953,A,7565,B,A,8654,,-17252,-80,-3923,2308,I,-8101,A,-5458,28335,414,-364,J,J,G,,,G,A,-336,1957,1854,-11111,52,-740,-29991,-6009,-7164,474,-4202,,-21431,-13326,-6673,-2625,B,1564,182,-5953,173,D,D,18
33039,H,-1209,-7149,-4290,40066,-174,F,8026,C,-897,D,10668,-34871,2169,8356,5012,412,10457,A,G,A,-9534,A,25565,G,G,29469,-12808,-58454,-310,-12716,7777,E,-27551,A,-18426,,1633,-1407,F,A,E,-16603,999,,A,-1040,6923,5905,,-311,-2611,-100949,-19955,-24021,,-13883,1264,-72708,-44647,-21837,-8356,B,,755,-19842,-7,H,O,18
-41881,,1564,9358,5406,-51410,-83,D,-10541,B,1244,F,-13503,45181,-2477,-9232,-6556,-48,-13699,D,G,C,12142,B,-33593,H,,-38311,17213,76095,1025,16756,-10272,,35518,,23625,-124624,-2369,1270,G,H,C,21884,-1492,J,B,1077,-8884,-8140,48709,-337,,131729,24750,31939,-1929,18061,-1514,94610,58593,28723,11136,D,-6937,-837,25712,277,B,N,18
4734,B,,-1037,-347,5670,-193,A,1288,A,-107,L,,-5022,503,1460,781,-134,1542,B,I,A,-1404,A,3964,A,B,4479,-2172,-8131,-575,-1897,730,H,-3892,A,-2485,14506,,183,J,L,G,,-3,,B,-275,1165,817,-5571,-300,-476,-14583,-2438,-3726,148,-2173,181,-10516,-5963,-3061,-1315,B,605,80,-2722,-174,D,M,18
12656,B,-434,-2725,-1525,14966,152,C,3224,A,-454,L,4005,-13212,967,3145,1981,-122,4018,B,A,A,,,9847,B,A,11130,-4950,,-392,-4959,2968,I,-10217,A,-6948,36571,656,-592,J,J,G,-6162,312,G,A,-526,2716,2172,-14266,-103,-971,-38411,-7238,-9058,569,-5427,303,-27791,-16816,-8216,-3143,B,1871,329,-7676,148,D,D,18
29260,H,-990,-6453,-3647,35577,-280,C,7299,,-811,A,9439,-31257,1852,7120,4459,,9665,A,F,A,-8637,A,22937,G,G,26336,-11558,-52436,-310,-11468,7086,E,-24488,D,-16447,86381,1595,-1063,F,A,E,-14944,895,P,A,-906,6087,5299,-33695,-118,-1993,-90643,-17892,-21482,1064,-12556,1136,-65435,-39891,-19740,-7497,B,4958,835,,93,H,I,18
7637,B,-265,-1490,-977,9100,-17,A,1776,A,-314,L,2568,-7740,418,2372,1186,,2183,B,A,A,-2350,A,5714,A,B,,-2648,-12879,-25,-2900,1560,I,-6313,A,-4348,21475,453,,J,L,G,-3536,81,E,A,-190,1736,807,-8407,-494,-361,-22325,-5124,-5016,209,-3161,115,-16167,-9432,-4703,-1620,B,1159,96,-4708,339,J,M,18
35093,H,-1342,-7589,-4399,42422,-154,C,8684,C,-944,D,11359,-37148,2707,9008,5276,220,11331,A,A,A,-10135,A,27597,K,A,31512,-13801,-61790,-878,-13869,7968,E,-29044,D,-19150,103121,1612,-1081,F,K,E,-17453,1165,P,A,-1097,7684,6217,-39745,-444,,-107484,,-25883,1287,-14964,1239,-77560,,,-8684,B,5609,836,-21207,-23,H,O,18
-26757,,1087,5806,3194,-32412,49,E,-6898,B,687,M,-8750,28605,-1776,-6053,-4095,161,-8732,D,C,E,7457,A,-21346,P,E,-24495,11076,48363,808,10506,-6568,A,22521,,14821,,-1324,819,D,D,A,13818,-1079,B,B,626,-5572,-5224,30894,-354,2320,83385,15448,20531,-1239,11667,-945,60137,36971,18413,7024,A,-4449,-777,16363,186,C,E,18
9286,B,-454,-1897,-1163,10981,-257,C,2326,A,-288,L,3037,-9539,1342,2936,1315,,2901,B,E,A,-2606,A,7331,B,,8444,-3575,-15729,-528,-3529,1993,I,-7787,D,-5011,27252,142,-308,J,J,G,-4599,307,E,A,-415,2008,1373,-10227,-497,-887,-27743,-4791,-6882,395,-4114,305,,-11468,-5957,-2174,B,1315,217,-5525,-187,D,M,18
-11225,I,426,2747,,-13970,-36,A,-2701,A,123,K,-3640,12477,-326,-2101,-1878,168,-3854,B,E,E,3382,A,-9053,N,B,-10459,4721,21303,62,4686,-3167,H,9870,A,,-33885,-876,346,B,E,A,6026,-326,L,B,,-2339,-2414,13479,-575,999,36468,7291,8494,-685,4857,-621,25969,16673,8120,3272,A,-1960,-394,7181,-220,I,P,18
25946,H,-1104,-5571,-3184,31248,41,C,6420,C,-506,D,8196,-27457,1729,6086,3988,197,,B,M,A,-7461,A,20716,G,A,23406,-10429,-46340,-840,-10087,6090,E,-21557,A,-14383,76367,1296,-1084,F,J,E,-13215,1003,P,A,-474,5523,4838,-29650,246,-2128,,-15057,,1238,-11144,919,-57558,-35329,-17433,-6762,B,4551,674,-15556,-98,A,I,18
-7364,I,267,1557,885,,-48,A,-1927,A,242,H,-2369,7998,-489,-1440,-1244,-87,-2255,B,E,E,2283,A,-5992,N,B,-6841,3242,13772,,2899,-1970,H,6105,A,4346,-22148,-306,161,B,E,A,4021,-208,L,B,167,-1609,-1602,8742,-410,571,23611,4453,5630,-300,3305,-276,16858,10535,5230,2042,A,-1267,-226,4577,80,J,P,18
-3914,I,99,770,503,-4553,58,A,-1046,A,253,H,-1322,4074,-231,-988,-682,410,-1254,B,G,E,1044,A,-3133,,B,,1327,7006,128,1429,-906,H,3298,A,2024,,-200,-25,B,L,G,2028,-293,L,B,194,-798,-727,4555,15,359,,2172,3155,-304,1435,-243,8659,5269,2553,1169,,-686,-272,2506,199,J,P,18
-38015,K,1585,8354,4805,-46153,-57,D,-9499,B,1044,F,-12346,40489,-2789,-8941,-5745,-92,,D,F,C,11093,A,-30197,P,E,-34458,15228,67908,1138,15141,-8960,G,32018,C,21010,-112366,-1744,1287,,H,C,,-1165,J,B,1127,-8170,-7238,43377,-108,3341,117949,22065,28828,-1544,16380,-1377,84777,51830,25710,,D,,-870,23099,178,B,N,18
-5597,I,450,1299,856,-6438,-151,A,-1439,A,-3,H,-1742,5859,-269,-942,-952,269,-1878,B,F,E,1352,A,-4728,N,B,-5221,2517,10317,483,2216,-1493,H,4767,A,3183,-16737,-135,127,B,L,G,2956,-335,L,B,,-1221,-1248,6426,-258,607,17803,2868,4519,-379,2576,-304,12841,7964,3888,1689,A,-1140,-231,3207,376,,P,18
5184,B,-82,-1200,-837,6411,-85,C,1408,A,-318,L,1736,-5402,69,1252,810,123,1604,B,G,A,-1579,A,4012,A,A,4554,-1784,-9136,156,,1386,I,-4273,A,-3087,14845,381,-438,J,L,G,-2689,-55,E,B,-279,,857,-5852,-61,-588,-15659,-3406,-3583,142,-1995,167,-11348,-7351,-3627,-1195,B,771,309,-3024,,D,,18
1999,I,-235,-303,-176,2200,-85,A,472,A,20,H,572,-1765,384,1115,,-98,291,B,I,E,-431,A,1283,A,A,1379,-280,-2284,-129,-566,-18,H,-1506,A,-802,4990,-155,-206,B,L,G,-675,,E,B,-17,611,-215,-1655,-316,-293,-4675,-769,-985,46,-696,109,-3317,-1672,-767,-120,A,-47,267,-950,-93,J,M,18
52549,E,-1978,-11505,-6688,63923,61,B,13177,C,-1409,O,16889,-56045,3497,12471,8173,181,17165,A,F,D,-15435,B,41583,L,C,,-21028,-94132,,-20758,12286,D,-44263,B,-29435,155218,2765,-1968,H,K,F,-26849,1727,O,A,-1601,11185,,-60251,64,-4343,-162971,-31318,-39310,2337,,1933,-117225,-71741,-35597,-13472,E,8612,1372,-32191,-36,K,L,18
-31240,K,995,7116,3857,-38310,-281,E,-7636,B,877,M,-10037,33777,-1246,-6513,-5193,-498,,D,I,E,9108,A,-24514,P,E,-28269,12545,57104,201,12236,-7929,A,26386,A,17884,-91955,-1990,,G,D,C,16544,,B,B,875,-6256,-6175,36436,-648,2512,97954,19506,23162,-1648,13186,-1201,70379,44234,,8226,A,-5158,-838,19339,25,,E,18
-9559,I,461,2185,1250,-12061,-119,A,-2185,A,204,H,-3101,10618,-266,-1653,-1532,79,-3348,B,A,E,2924,A,-7860,N,A,-9086,4379,18249,410,4127,-2653,H,8189,A,5418,-28973,-635,131,B,E,A,5186,-465,L,B,165,-2002,-2322,11457,-676,674,,,7824,-451,4382,-337,22532,14113,6912,2983,A,-1740,-159,6144,-99,I,P,18
39077,E,-1542,-8452,-4847,47212,-225,F,,C,-1070,O,12510,-41271,3056,9774,6010,-30,12425,A,D,A,-11161,A,30695,K,G,35206,-15478,-68846,-969,-15307,9080,E,-32772,D,-21599,114745,1941,-1286,E,K,F,-19674,1359,,A,-1275,8385,7233,-44480,-323,-3318,-120122,-22671,-29072,1626,-16591,1292,-86721,-52421,-26040,-9842,B,6143,923,,-88,H,O,18
19677,B,,-4282,-2662,23975,-124,C,4857,A,-364,A,6299,-20897,1301,,2934,,6360,B,F,A,-5765,A,15344,,,17687,-7864,-35050,-288,-7775,4481,I,-16628,A,-10890,58140,984,-603,F,J,E,-10047,633,G,A,-649,4023,3595,-22581,-201,-1580,-60682,-11557,-14810,684,-8307,563,-43851,-26853,-13136,-5056,B,2992,378,-11863,-128,A,D,18
